trajets;classe1;classe2;classe3;payage moyen;distance;cout investissement;net annuel par tarrification
RAS TABOUDA-AIN TAOUJTATE;22;35;43;33;21;625;167
RAS TABOUDA-MEKNES EST;27;45;54;42;26;788;210
RAS TABOUDA-MEKNES OUEST;31;51;62;48;30;900;240
RAS TABOUDA-KHEMISSET;49;79;95;74;46;1394;372
RAS TABOUDA- TIFLET;58;90;108;85;53;1600;427
RAS TABOUDA-SIDI ALLAL AL BAHRAOUI;64;100;121;95;59;1781;475
FES EST-FES SAIS;3;5;6;5;3;88;23
FES EST-FES VILLE;5;10;12;9;6;169;45
FES EST-AIN TAOUJTATE;12;19;23;18;11;338;90
FES EST-MEKNES EST;19;31;37;29;18;544;145
FES EST-MEKNES OUEST;22;37;45;35;22;650;173
FES EST-KHEMISSET;40;64;78;61;38;1138;303
FES EST- TIFLET;49;75;91;72;45;1344;358
FES EST-SIDI ALLAL AL BAHRAOUI;56;86;104;82;51;1538;410
FES SAIS-FES VILLE;3;5;6;5;3;88;23
FES SAIS-AIN TAOUJTATE;9;15;18;14;9;263;70
FES SAIS-MEKNES EST;16;26;32;25;15;463;123
FES SAIS-MEKNES OUEST;20;33;40;31;19;581;155
FES SAIS-KHEMISSET;38;60;72;57;35;1063;283
FES SAIS- TIFLET;47;71;86;68;43;1275;340
FES SAIS-SIDI ALLAL AL BAHRAOUI;54;82;99;78;49;1469;392
FES -AIN TAOUJTATE;7;12;14;11;7;206;55
FES-MEKNES EST;13;21;25;20;12;369;98
FES-MEKNES OUEST;16;27;33;25;16;475;127
FES-KHEMISSET;35;55;66;52;33;975;260
FES-TIFLET;44;66;79;63;39;1181;315
FES-SIDI ALLAL BAHRAOUI;50;76;92;73;45;1363;363
AIN TAOUJTATE-MEKNES EST;9;15;18;14;9;263;70
AIN TAOUJTATE-MEKNES OUEST;11;18;22;17;11;319;85
AIN TAOUJTATE-KHMISSET;29;45;56;43;27;813;217
AIN TAOUJTATE-TIFLET;37;58;72;56;35;1044;278
AIN TAOUJTATE-SIDI ALLAL BAHRAOUI;47;73;89;70;44;1306;348
MEKNES EST-MEKNES OUEST;3;5;6;5;3;88;23
MEKNES EST-KHEMISSET;22;33;40;32;20;594;158
MEKNES EST-TIFLET;30;44;53;42;26;794;212
MEKNES EST-SIDI ALLAL BAHRAOUI;38;56;67;54;34;1006;268
MEKNES OUEST-KHEMISSET;18;27;33;26;16;488;130
MEKNES OUEST-TIFLET;27;39;48;38;24;713;190
MEKNES OUEST-SIDI ALLAL BAHRAOUI;34;50;61;48;30;906;242
KHEMISSET-TIFLET;8;12;15;12;7;219;58
KHEMISSET-SIDI ALLAL BAHRAOUI;16;24;29;23;14;431;115
TIFLET-SIDI ALLAL BAHRAOUI;8;12;15;12;7;219;58
CASABLANCA-BOUSKOURA;11;16;20;16;10;294;78
BERRECHID EST-SETTAT NORD;7;11;14;11;7;200;53
BERRECHID EST-SETTAT CENTRE;11;16;20;16;10;294;78
BERRECHID EST-SKHOUR R'HAMNA;38;57;69;55;34;1025;273
BERRECHID EST-BENGUERIR;50;76;92;73;45;1363;363
BERRECHID EST-MARRAKECH PALMERAI;69;104;125;99;62;1863;497
BERRECHID EST-MARRAKECH TAMANSOURT;71;107;129;102;64;1919;512
BERRECHID EST-MARRAKECH TARGA;76;115;138;110;69;2056;548
BERRECHID EST-LOUDAYA;84;126;151;120;75;2256;602
BERRECHID EST-CHICHAOUA;96;164;197;152;95;2856;762
BERRECHID EST-IMIN TANOUTE;108;183;220;170;106;3194;852
BERRECHID EST-ARGANA;130;220;265;205;128;3844;1025
BERRECHID EST-BPV AMSKROUD;153;260;312;242;151;4531;1208
SETTAT NORD-SETTAT CENTRE;4;7;8;6;4;119;32
SETTAT NORD-SKHOUR R'HAMNA;33;49;59;47;29;881;235
SETTAT NORD-BENGUERIR;40;61;74;58;36;1094;292
SETTAT NORD-MARRAKECH PALMERAI;66;93;112;90;56;1694;452
SETTAT NORD-MARRAKECH TAMANSOURT;63;95;114;91;57;1700;453
SETTAT NORD-MARRAKECH TARGA;71;107;129;102;64;1919;512
SETTAT NORD-LOUDAYA;79;118;142;113;71;2119;565
SETTAT NORD-CHICHAOUA;87;148;179;138;86;2588;690
SETTAT NORD-IMIN TANOUTE;105;178;214;166;104;3106;828
SETTAT NORD-ARGANA;127;215;258;200;125;3750;1000
SETTAT NORD-BPV AMSKROUD;145;247;296;229;143;4300;1147
SETTAT CENTRE-SKHOUR R'HAMNA;27;44;53;41;26;775;207
SETTAT CENTRE-BENGUERIR;34;50;61;48;30;906;242
SETTAT CENTRE-MARRAKECH PALMERAI;60;87;105;84;53;1575;420
SETTAT CENTRE-MARRAKECH TAMANSOURT;57;85;103;82;51;1531;408
SETTAT CENTRE-MARRAKECH TARGA;66;98;118;94;59;1763;470
SETTAT CENTRE-LOUDAYA;71;107;129;102;64;1919;512
SETTAT CENTRE-CHICHAOUA;85;145;175;135;84;2531;675
SETTAT CENTRE-IMIN TANOUTE;97;165;198;153;96;2875;767
SETTAT CENTRE-ARGANA;119;202;243;188;118;3525;940
SETTAT CENTRE-BPV AMSKROUD;136;231;278;215;134;4031;1075
SKHOUR R'HAMNA-BENGUERIR;9;13;16;13;8;238;63
SKHOUR R'HAMNA-MARRAKECH PALMERAI;33;49;59;47;29;881;235
SKHOUR R'HAMNA-MARRAKECH TAMANSOURT;33;49;59;47;29;881;235
SKHOUR R'HAMNA-MARRAKECH TARGA;40;61;74;58;36;1094;292
SKHOUR R'HAMNA-LOUDAYA;48;72;87;69;43;1294;345
SKHOUR R'HAMNA-CHICHAOUA;61;104;125;97;60;1813;483
SKHOUR R'HAMNA-IMIN TANOUTE;74;127;152;118;74;2206;588
SKHOUR R'HAMNA-ARGANA;96;164;197;152;95;2856;762
SKHOUR R'HAMNA-BPV AMSKROUD;115;194;234;181;113;3394;905
BENGUERIR-MARRAKECH PALMERAI;22;33;40;32;20;594;158
BENGUERIR-MARRAKECH TAMANSOURT;22;33;40;32;20;594;158
BENGUERIR-MARRAKECH TARGA;27;42;50;40;25;744;198
BENGUERIR- LOUDAYA;35;52;63;50;31;938;250
BENGUERIR-CHICHAOUA;47;80;96;74;46;1394;372
BENGUERIR-IMIN TANOUTE;60;102;122;95;59;1775;473
BENGUERIR-ARGANA;82;139;167;129;81;2425;647
BENGUERIR-BPV AMSKROUD;104;176;211;164;102;3069;818
